File,Smell,Correlation,P-value,Significant
ludwig_cs+satd.csv,TF,0.353,0.01298,✅
ludwig_cs+satd.csv,UI,-0.194,0.18142,❌
ludwig_cs+satd.csv,TC,,,❌
MMdnn_cs+satd.csv,OSE,0.574,0.06507,❌
MMdnn_cs+satd.csv,BCE,0.43,0.18629,❌
MMdnn_cs+satd.csv,PDE,,,❌
MMdnn_cs+satd.csv,SV,0.574,0.06507,❌
MMdnn_cs+satd.csv,OS,0.0,1.0,❌
MMdnn_cs+satd.csv,SD,0.382,0.24583,❌
MMdnn_cs+satd.csv,RS,0.344,0.30008,❌
MMdnn_cs+satd.csv,TF,0.462,0.15285,❌
MMdnn_cs+satd.csv,UI,-0.205,0.545,❌
MMdnn_cs+satd.csv,TC,,,❌
scanpy_cs+satd.csv,OSE,0.201,0.05896,❌
scanpy_cs+satd.csv,BCE,,,❌
scanpy_cs+satd.csv,PDE,,,❌
scanpy_cs+satd.csv,SV,0.35,0.00077,✅
scanpy_cs+satd.csv,OS,,,❌
scanpy_cs+satd.csv,SD,,,❌
scanpy_cs+satd.csv,RS,-0.118,0.26894,❌
scanpy_cs+satd.csv,TF,,,❌
scanpy_cs+satd.csv,UI,,,❌
scanpy_cs+satd.csv,TC,,,❌
dm_control_cs+satd.csv,OSE,-0.085,0.67365,❌
dm_control_cs+satd.csv,BCE,,,❌
dm_control_cs+satd.csv,PDE,0.451,0.01809,✅
dm_control_cs+satd.csv,SV,0.17,0.39703,❌
dm_control_cs+satd.csv,OS,,,❌
dm_control_cs+satd.csv,SD,,,❌
dm_control_cs+satd.csv,RS,,,❌
dm_control_cs+satd.csv,TF,,,❌
dm_control_cs+satd.csv,UI,,,❌
dm_control_cs+satd.csv,TC,,,❌
deepchem_cs+satd.csv,OSE,,,❌
deepchem_cs+satd.csv,BCE,-0.094,0.70246,❌
deepchem_cs+satd.csv,PDE,,,❌
deepchem_cs+satd.csv,SV,0.02,0.93494,❌
deepchem_cs+satd.csv,OS,0.25,0.30163,❌
deepchem_cs+satd.csv,SD,0.391,0.09827,❌
deepchem_cs+satd.csv,RS,0.166,0.49601,❌
deepchem_cs+satd.csv,TF,0.311,0.1957,❌
deepchem_cs+satd.csv,UI,0.011,0.96434,❌
deepchem_cs+satd.csv,TC,,,❌
interpret_cs+satd.csv,OSE,0.025,0.86447,❌
interpret_cs+satd.csv,BCE,-0.05,0.73269,❌
interpret_cs+satd.csv,PDE,,,❌
interpret_cs+satd.csv,SV,0.216,0.13265,❌
interpret_cs+satd.csv,OS,,,❌
interpret_cs+satd.csv,SD,,,❌
interpret_cs+satd.csv,RS,0.174,0.22687,❌
interpret_cs+satd.csv,TF,,,❌
interpret_cs+satd.csv,UI,0.166,0.24971,❌
interpret_cs+satd.csv,TC,,,❌
pyro_cs+satd.csv,OSE,0.481,0.00399,✅
pyro_cs+satd.csv,BCE,0.287,0.09946,❌
pyro_cs+satd.csv,PDE,,,❌
pyro_cs+satd.csv,SV,0.446,0.00826,✅
pyro_cs+satd.csv,OS,,,❌
pyro_cs+satd.csv,SD,0.151,0.39351,❌
pyro_cs+satd.csv,RS,0.275,0.11493,❌
pyro_cs+satd.csv,TF,0.356,0.03862,✅
pyro_cs+satd.csv,UI,,,❌
pyro_cs+satd.csv,TC,,,❌
bigartm_cs+satd.csv,OSE,0.613,0.00068,✅
bigartm_cs+satd.csv,BCE,0.368,0.05885,❌
bigartm_cs+satd.csv,PDE,,,❌
bigartm_cs+satd.csv,SV,0.346,0.07686,❌
bigartm_cs+satd.csv,OS,,,❌
bigartm_cs+satd.csv,SD,0.354,0.07007,❌
bigartm_cs+satd.csv,RS,0.368,0.05885,❌
bigartm_cs+satd.csv,TF,0.368,0.05885,❌
bigartm_cs+satd.csv,UI,0.198,0.32161,❌
bigartm_cs+satd.csv,TC,,,❌
PyKEEN_cs+satd.csv,OSE,0.352,0.12843,❌
PyKEEN_cs+satd.csv,BCE,0.02,0.93274,❌
PyKEEN_cs+satd.csv,PDE,,,❌
PyKEEN_cs+satd.csv,SV,0.566,0.0093,✅
PyKEEN_cs+satd.csv,OS,,,❌
PyKEEN_cs+satd.csv,SD,,,❌
PyKEEN_cs+satd.csv,RS,,,❌
PyKEEN_cs+satd.csv,TF,,,❌
PyKEEN_cs+satd.csv,UI,,,❌
PyKEEN_cs+satd.csv,TC,,,❌
shap_cs+satd.csv,OSE,0.107,0.43704,❌
shap_cs+satd.csv,BCE,-0.05,0.71547,❌
shap_cs+satd.csv,PDE,,,❌
shap_cs+satd.csv,SV,0.282,0.03707,✅
shap_cs+satd.csv,OS,-0.053,0.70309,❌
shap_cs+satd.csv,SD,0.166,0.22478,❌
shap_cs+satd.csv,RS,0.177,0.19529,❌
shap_cs+satd.csv,TF,-0.307,0.02279,✅
shap_cs+satd.csv,UI,0.109,0.42932,❌
