Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,Code,Defect,Design,Documentation,M&T,Requirement,SATD
scanpy,1.2.0,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,35,2,4,1,4,6,18,35
scanpy,1.2.1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,35,2,4,1,4,6,18,35
scanpy,1.2.2,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,33,1,4,1,4,6,17,33
scanpy,1.3,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,33,1,3,2,4,6,17,33
scanpy,1.3.1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,33,1,3,2,4,6,17,33
scanpy,1.3.2,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,32,1,3,2,4,6,16,32
scanpy,1.3.3,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,32,1,3,2,4,6,16,32
scanpy,1.3.4,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,31,1,3,2,4,6,15,31
scanpy,1.3.5,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,31,1,3,2,4,6,15,31
scanpy,1.3.6,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,32,1,3,2,4,6,16,32
scanpy,1.3.7,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,32,1,3,2,4,6,16,32
scanpy,1.3.8,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,31,1,3,1,4,6,16,31
scanpy,1.4,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,31,1,3,1,4,6,16,31
scanpy,1.4.1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,32,1,3,1,4,7,16,32
scanpy,1.4.2,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,27,1,3,1,3,7,12,27
scanpy,1.4.3,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,27,1,3,1,3,7,12,27
scanpy,1.4.4,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,28,1,2,1,3,6,15,28
scanpy,1.4.4.post1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,28,1,2,1,3,6,15,28
scanpy,1.4.5,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,23,1,3,1,3,5,10,23
scanpy,1.4.5.post1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,23,1,3,1,3,5,10,23
scanpy,1.4.5.post2,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,23,1,3,1,3,5,10,23
scanpy,1.4.5.post3,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,25,1,4,1,3,5,11,25
scanpy,1.4.5.1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,27,1,4,1,3,7,11,27
scanpy,1.4.6,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,28,2,4,1,3,7,11,28
scanpy,1.5.0a1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,29,2,4,1,3,7,12,29
scanpy,1.5.0,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,29,2,4,1,3,7,12,29
scanpy,1.5.1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,29,2,4,1,3,7,12,29
scanpy,1.6.0,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,31,2,4,2,3,7,13,31
