Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,total-cs
Robyn,v0.44.0,2023-10-15,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.44.1,2023-10-22,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.44.2,2023-10-29,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.45.0,2023-11-06,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.46.0,2023-11-25,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.47.0,2023-12-02,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.48.0,2023-12-03,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.49.0,2023-12-10,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.49.3,2023-12-27,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.50.0,2024-01-08,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.51.0,2024-01-10,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.51.1,2024-02-03,0,1,1,0,0,0,0,1,0,1,4
Robyn,v0.51.2,2024-02-06,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.51.3,2024-02-10,0,1,1,0,0,0,0,1,0,1,4
Robyn,v0.52.0,2024-02-11,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.52.1,2024-03-19,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.52.3,2024-03-20,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.53.0,2024-03-25,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.53.1,2024-03-26,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.53.2,2024-04-02,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.54.0,2024-04-04,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.54.1,2024-04-12,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.54.2,2024-04-28,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.54.3,2024-05-19,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.54.4,2024-05-19,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.54.5,2024-05-23,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.55.0,2024-06-13,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.56.0,2024-06-19,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.56.1,2024-07-01,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.56.2,2024-07-03,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.56.3,2024-07-06,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.57.0,2024-07-09,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.57.1,2024-07-14,0,1,1,0,0,0,0,1,0,1,4
Robyn,v0.58.0,2024-07-19,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.58.1,2024-07-29,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.58.2,2024-08-07,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.60.1,2024-08-22,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.60.2,2024-08-24,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.61.1,2024-08-26,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.61.2,2024-09-29,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.62.0,2024-10-15,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.62.1,2024-10-17,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.63.0,2024-11-03,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.64.0,2024-11-14,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.64.1,2024-11-18,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.64.2,2024-11-26,0,1,1,0,0,0,1,1,0,1,5
