Version,Commit Message,SATD
v3.1.3,TODO: Find a better way to check for sparse gradients.,1
v3.1.3,TODO: needs to be added as inference opt,1
v3.1.3,TODO: maybe add dynamic part,1
v3.1.2,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v3.1.2,hack for python2/3 compatibility,1
v3.1.2,hack for python2/3 compatibility,1
v3.1.2,TODO: fix for pytorch 0.3,1
v3.1.2,TODO: context gate should be employed,1
v3.1.2,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.1.2,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.1.2,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.1.2,TODO: Find a better way to check for sparse gradients.,1
v3.1.2,TODO: needs to be added as inference opt,1
v3.1.2,TODO: maybe add dynamic part,1
v3.1.1,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v3.1.1,hack for python2/3 compatibility,1
v3.1.1,hack for python2/3 compatibility,1
v3.1.1,TODO: fix for pytorch 0.3,1
v3.1.1,TODO: context gate should be employed,1
v3.1.1,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.1.1,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.1.1,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.1.1,TODO: Find a better way to check for sparse gradients.,1
v3.1.1,TODO: needs to be added as inference opt,1
v3.1.1,TODO: maybe add dynamic part,1
v3.1.0,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v3.1.0,hack for python2/3 compatibility,1
v3.1.0,hack for python2/3 compatibility,1
v3.1.0,TODO: fix for pytorch 0.3,1
v3.1.0,TODO: context gate should be employed,1
v3.1.0,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.1.0,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.1.0,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.1.0,TODO: Find a better way to check for sparse gradients.,1
v3.1.0,TODO: needs to be added as inference opt,1
v3.1.0,TODO: maybe add dynamic part,1
v3.0.4,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v3.0.4,hack for python2/3 compatibility,1
v3.0.4,hack for python2/3 compatibility,1
v3.0.4,TODO: fix for pytorch 0.3,1
v3.0.4,TODO: context gate should be employed,1
v3.0.4,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.0.4,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.0.4,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.0.4,TODO: Find a better way to check for sparse gradients.,1
v3.0.4,TODO: needs to be added as inference opt,1
v3.0.4,TODO: maybe add dynamic part,1
v3.0.3,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v3.0.3,hack for python2/3 compatibility,1
v3.0.3,hack for python2/3 compatibility,1
v3.0.3,TODO: fix for pytorch 0.3,1
v3.0.3,TODO: context gate should be employed,1
v3.0.3,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.0.3,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.0.3,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.0.3,TODO: Find a better way to check for sparse gradients.,1
v3.0.3,TODO: needs to be added as inference opt,1
v3.0.3,TODO: maybe add dynamic part,1
v3.0.2,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v3.0.2,hack for python2/3 compatibility,1
v3.0.2,hack for python2/3 compatibility,1
v3.0.2,TODO: fix for pytorch 0.3,1
v3.0.2,TODO: context gate should be employed,1
v3.0.2,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.0.2,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.0.2,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.0.2,TODO: Find a better way to check for sparse gradients.,1
v3.0.2,TODO: needs to be added as inference opt,1
v3.0.2,TODO: maybe add dynamic part,1
v3.0.1,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v3.0.1,hack for python2/3 compatibility,1
v3.0.1,hack for python2/3 compatibility,1
v3.0.1,TODO: fix for pytorch 0.3,1
v3.0.1,TODO: context gate should be employed,1
v3.0.1,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.0.1,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.0.1,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.0.1,TODO: Find a better way to check for sparse gradients.,1
v3.0.1,TODO: needs to be added as inference opt,1
v3.0.1,this is a hack: appears quicker to apply it here,1
v3.0.1,TODO: maybe add dynamic part,1
